lat,lon,dep,x,y,mag
40.7366667,-112.0643333,7.96,13.163491,7.960000,0.55
40.7666667,-112.09,9.69,11.840689,9.690000,1.03
40.7648333,-112.0901667,10.19,11.779107,10.190000,0.85
40.772,-112.0893333,9.28,12.034738,9.280000,1.15
40.725,-112.063,8.68,12.968484,8.680000,-0.03
40.7286667,-112.044,9.17,14.623936,9.170000,0.3
40.8456667,-111.9865,8.22,22.387048,8.220000,0.86
40.7521667,-112.0473333,8.5,14.963081,8.500000,1.28
40.751,-112.0478333,6.94,14.891624,6.940000,1.53
40.7423333,-112.085,6.39,11.615220,6.390000,0.79
40.7191667,-112.0191667,9.78,16.415305,9.780000,1.01
40.7383333,-112.074,9.39,12.413562,9.390000,1.54
40.7213333,-112.0165,9.44,16.690687,9.440000,0.29
40.7203333,-112.0181667,10.42,16.527795,10.420000,0.53
40.721,-112.0183333,8.86,16.531476,8.860000,1.26
40.7283333,-112.0686667,7.63,12.590282,7.630000,0.76
40.7381667,-112.0631667,9.61,13.298390,9.610000,-0.06
40.742,-112.0885,7.06,11.319269,7.060000,0.06
40.732,-112.0693333,7.6,12.631273,7.600000,0.61
40.7188333,-112.015,9.58,16.748763,9.580000,0.27
40.7285,-112.0751667,6.94,12.061052,6.940000,0.08
40.722,-112.0246667,9,16.037493,9.000000,1.44
40.7205,-112.0161667,9.27,16.696358,9.270000,0.71
40.7225,-112.0251667,9.22,16.009463,9.220000,1.43
40.7715,-112.0821667,9.47,12.609575,9.470000,0.45
40.7181667,-112.067,8.06,12.461755,8.060000,0.32
40.725,-112.081,9.87,11.490796,9.870000,0.68
40.7641667,-112.0721667,8.47,13.238472,8.470000,0.39
40.7436667,-112.0903333,8.37,11.212362,8.370000,0.71
40.7446667,-112.057,7.7,13.974126,7.700000,0.62
40.7485,-112.0563333,7.15,14.128845,7.150000,0.8
40.735,-112.0606667,9.94,13.420962,9.940000,0.61
40.7458333,-112.0481667,7.07,14.729528,7.070000,0.69
40.7188333,-112.085,9.44,11.001343,9.440000,0.97
40.7601667,-112.0766667,9.26,12.764817,9.260000,0.17
40.7408333,-112.0761667,7.34,12.301006,7.340000,0.73
40.7076667,-111.9181667,8.86,24.411668,8.860000,0.99
40.727,-112.0633333,7.51,12.993313,7.510000,0.72
40.7635,-112.072,9.77,13.234743,9.770000,1.28
40.7606667,-112.0788333,8.76,12.600107,8.760000,1.15
40.7626667,-112.0801667,10.06,12.542939,10.060000,0.56
40.7635,-112.0706667,9.93,13.344135,9.930000,1.13
40.764,-112.0756667,10,12.946961,10.000000,1.56
40.7668333,-112.074,7.86,13.157683,7.860000,0.46
40.7583333,-112.0763333,9.29,12.744298,9.290000,0.54
40.7615,-112.0755,8.61,12.895359,8.610000,0.36
40.762,-112.074,10.13,13.031486,10.130000,1.65
40.7681667,-112.0796667,10.03,12.727605,10.030000,1.53
40.7683333,-112.0811667,10.66,12.608898,10.660000,1.9
40.7648333,-112.0763333,10.24,12.914030,10.240000,2.38
40.7431667,-112.0605,8.05,13.647734,8.050000,0.75
40.8261667,-111.9718333,5.03,23.082471,5.030000,0.89
40.839,-111.974,2.53,23.238340,2.530000,1.13
40.8366667,-111.9775,5.38,22.890785,5.380000,1.3
40.7105,-111.9243333,4.46,23.978550,4.460000,1.45
40.7396667,-112.0346667,10.08,15.676828,10.080000,0.36
40.7275,-112.058,9.1,13.444187,9.100000,1.84
40.7905,-111.9943333,3.69,20.309960,3.690000,0.48
40.7786667,-112.0918333,9.49,12.003875,9.490000,1.24
40.7298333,-112.0801667,10.94,11.685432,10.940000,0.62
40.7321667,-112.0806667,9.95,11.705330,9.950000,0.42
40.7281667,-112.0805,11.32,11.614546,11.320000,1.17
40.7516667,-112.0896667,9.54,11.476097,9.540000,0.72
40.736,-112.0651667,8.84,13.077685,8.840000,0.26
40.7288333,-112.0565,9.06,13.602110,9.060000,0.52
40.8323333,-111.9826667,4.56,22.354578,4.560000,0.71
40.7856667,-111.9675,5.4,22.385587,5.400000,1.05
40.7256667,-112.0735,7.79,12.123898,7.790000,0.65
40.7501667,-112.0623333,9.29,13.679933,9.290000,1.83
40.8383333,-111.9901667,9.46,21.895785,9.460000,0.47
40.8253333,-111.9741667,8.48,22.869497,8.480000,0.49
40.7428333,-112.0296667,7.6,16.169753,7.600000,1.4
40.7148333,-112.0793333,10.99,11.362115,10.990000,1.67
40.7051667,-112.1146667,12.01,8.208344,12.010000,0.54
40.75,-112.0308333,8.01,16.260733,8.010000,0.25
40.747,-111.9596667,3.85,22.024118,3.850000,0.76
40.849,-111.9833333,6.42,22.733267,6.420000,0.49
40.74,-112.0486667,9.48,14.536372,9.480000,0.41
40.7413333,-112.0821667,8.53,11.821629,8.530000,0.59
40.7436667,-112.0365,9.46,15.630597,9.460000,1.09
40.7466667,-112.0361667,9.64,15.736141,9.640000,0.81
40.7481667,-112.0355,9.68,15.829953,9.680000,0.48
40.7345,-112.0671667,8.3,12.874371,8.300000,0.91
40.7286667,-112.0591667,8.9,13.378848,8.900000,0.17
40.7568333,-112.085,8.67,11.994003,8.670000,0.95
40.7276667,-112.0715,8.51,12.340294,8.510000,0.12
